time,actual_x,actual_y,estimated_x,estimated_y,drone_x,drone_y,actual_vx,actual_vy,estimated_vx,estimated_vy
0.026270627975463867,6.139239572188041,-0.7892284040020426,6.1392359193978665,-0.789235627282989,-4.522453656219698e-08,2.6801268076600752e-08,0.1828196126814182,0.36182538555458155,7.019212635212101e-05,0.00013879012446154528
0.045346736907958984,6.142888403770028,-0.7819890854364548,6.141344056671256,-0.785053638113791,-4.532800514780484e-08,2.689281675494147e-08,0.18193907613567165,0.36211850465441836,0.029624572928151103,0.05871128944969312
0.0646975040435791,6.146529008020209,-0.7747437127446168,6.144441493334066,-0.7788998564374929,-4.543027612860282e-08,2.6925493343244703e-08,0.1818261369410119,0.36245515150990515,0.08097961566459771,0.16062398804735592
0.2037503719329834,6.168178325244016,-0.7311396847645809,6.167413497871381,-0.732735640454969,-4.543027612860282e-08,2.6925493343244703e-08,0.17901563808659135,0.36436671466203047,0.15576577906730485,0.31107788449495755
0.2266697883605957,6.175298509438496,-0.7165401926893965,6.173395783956349,-0.7205730020208918,-4.584175526154086e-08,2.717394387632821e-08,0.17697013048664748,0.3656772393003284,0.17193276777565394,0.3432545335935341
0.25332045555114746,6.178834392421921,-0.7092241833275849,6.178375061262012,-0.7104574937340169,-4.5945223847241496e-08,2.7265492554564234e-08,0.17664295460693502,0.3659792855306301,0.1762207696830822,0.3511024438354509
0.27142953872680664,6.18235526739001,-0.7018981595252589,6.1818743706658825,-0.7033061307134342,-4.5945223847241496e-08,2.7265492554564234e-08,0.1754735132032944,0.36675514421342725,0.1800106149277887,0.35793947732229475
0.29172658920288086,6.185860709214379,-0.6945621424539588,6.185670467667932,-0.6955599534533699,-4.6047494828073174e-08,2.7298169142763772e-08,0.17472991635107313,0.36715746402568683,0.18304310387157527,0.36307183877609944
0.3114469051361084,6.189351429930173,-0.687216377193052,6.189345099344265,-0.6880434465148831,-4.6150963413804916e-08,2.7389717820967545e-08,0.17436315142910336,0.3674705150585082,0.18566344534053644,0.3674221854315259
0.3304307460784912,6.192826542909286,-0.6798603494702968,6.192913253778156,-0.6807259559884685,-4.6150963413804916e-08,2.7389717820967545e-08,0.17317780332901833,0.3682525417649214,0.18828629808511824,0.3717473951946374
0.3507866859436035,6.196285721700622,-0.67249411471722,6.196671482332616,-0.6729940265060556,-4.625323439464801e-08,2.742239440913281e-08,0.17240670289139326,0.3686713156507364,0.18998129685680942,0.37465179747487204
0.36983633041381836,6.199729752724774,-0.6651179810111109,6.200201267261269,-0.6656857366975489,-4.625323439464801e-08,2.742239440913281e-08,0.17201334285432518,0.36899518009277626,0.19153597788457294,0.37745944889574895
0.3896336555480957,6.203157897044874,-0.6577315333604619,6.203830832869558,-0.6581327010616229,-4.635670298041061e-08,2.751394308729729e-08,0.17083816479694425,0.3697661865534456,0.1924861673014154,0.3794688654203166
0.4101235866546631,6.206569924142277,-0.6503348982824981,6.20750150419751,-0.6504257002608976,-4.645897396126461e-08,2.754661967542683e-08,0.170046325016001,0.3701872179968325,0.19241483753064992,0.38016257451381624
0.4289548397064209,6.209966691074042,-0.6429284296671265,6.210888130980998,-0.6432536239529961,-4.645897396126461e-08,2.754661967542683e-08,0.16964131044347425,0.37052152901565033,0.1925833928475471,0.3812941081843312
0.44852447509765625,6.213347623161178,-0.6355117958074942,6.214389018602052,-0.6358065008693558,-4.656244254705817e-08,2.7638168353556234e-08,0.16849910087733977,0.3712663615953734,0.19253674025841716,0.3821826989286849
0.4676327705383301,6.216712542771998,-0.6280852047212114,6.217805595673221,-0.6284905270932915,-4.656244254705817e-08,2.7638168353556234e-08,0.16769420936003926,0.3716758410051561,0.1925267514838672,0.38317463574231775
0.48850536346435547,6.220062372676434,-0.6206490346355253,6.2214409908786505,-0.6206444091632006,-4.666471352792335e-08,2.7670844941654118e-08,0.16728369360018513,0.37201315742659113,0.1915836671446829,0.38298461891815694
0.50771164894104,6.223396661302914,-0.6132029960555183,6.224769470013208,-0.6133795873821558,-4.676818211374782e-08,2.7762393619749182e-08,0.16618403880311397,0.3727333121521153,0.19078599953311343,0.3830361370685311
0.5276095867156982,6.226715333124481,-0.6057474420086104,6.2281917146060675,-0.6058730687814717,-4.676818211374782e-08,2.7762393619749182e-08,0.16538592145226005,0.3731118719662318,0.18983154232027596,0.3828995188405626
0.5477049350738525,6.230026450937592,-0.5982869831792047,6.231606323254956,-0.5983261943325114,-4.687045309462419e-08,2.7795070207810776e-08,0.16594770743624407,0.37280957757778943,0.18865853081043343,0.38249443483074613
0.5673930644989014,6.2333244025314105,-0.590819907618928,6.234931660666163,-0.5909236378353433,-4.687045309462419e-08,2.7795070207810776e-08,0.1645027433137836,0.3733419784984634,0.18752234375875249,0.3821371385414793
0.5877113342285156,6.236604977662335,-0.5833409633372674,6.238323861287202,-0.5833264378054474,-4.6973921680479825e-08,2.7886618885865504e-08,0.16442299500047192,0.37374933798309196,0.18617609919054307,0.3815129217304636
0.607170820236206,6.2398694098933385,-0.5758539132886451,6.241563851698632,-0.576016398816751,-4.6973921680479825e-08,2.7886618885865504e-08,0.16242347567282858,0.3747056398841713,0.18501870216544625,0.38112054446958443
0.627206563949585,6.243116143314273,-0.568355962032507,6.244880728238626,-0.5685020898996216,-4.707619266136772e-08,2.7919295473888995e-08,0.16291573827964395,0.37450160359872703,0.18381460136588548,0.38066114192732536
0.6471502780914307,6.246345626863822,-0.5608482902597856,6.248158766018087,-0.561025713565173,-4.717966124725442e-08,2.8010844151910732e-08,0.16049019048783872,0.3757424169497475,0.18260401107720522,0.3801884829967352
