time,actual_x,actual_y,estimated_x,estimated_y,drone_x,drone_y
0.6286618709564209,6.562707058317524,1.4669393416388312,6.56272355020048,1.464089923912869,-6.620997255288719e-08,3.947224490822536e-08
0.6482253074645996,6.562642979756773,1.4754912322872413,6.5626912756279205,1.4686575653402227,-6.631344114165382e-08,3.9563793582914277e-08
0.6680755615234375,6.562565003495395,1.4840445900218806,6.56265501372818,1.473080686628241,-6.631344114165382e-08,3.9563793582914277e-08
0.828833818435669,6.5616130577409635,1.5439508260409234,6.562399364173157,1.4918258916781895,-6.641571212359593e-08,3.959647016761488e-08
0.8573300838470459,6.561218415224403,1.561076623346708,6.56216725677676,1.5074366818644187,-6.682719126513965e-08,3.984492068618294e-08
0.8771629333496094,6.561002006258971,1.5696408016615124,6.561979362194724,1.519692341885117,-6.69306598539992e-08,3.993646936076333e-08
0.8989806175231934,6.560772548087433,1.578205880966414,6.561819003671199,1.5303697411813586,-6.703293083597497e-08,3.996914594535881e-08
0.9185628890991211,6.560531887632656,1.5867717560015675,6.561677132444083,1.5399317526376484,-6.703293083597497e-08,3.996914594535881e-08
0.9370238780975342,6.560278533191854,1.5953383606999563,6.561549127048008,1.5488138009211292,-6.713639942486547e-08,4.006069461990321e-08
0.9559042453765869,6.560012640148284,1.6039057680887,6.5614346641516565,1.557392589307615,-6.713639942486547e-08,4.006069461990321e-08
0.9756214618682861,6.559736000545901,1.6124738836171637,6.561335282031458,1.5658945356630112,-6.723867040685238e-08,4.009337120446416e-08
0.9959738254547119,6.559447093748207,1.621042637856076,6.561252254026788,1.57443006301807,-6.734213899577384e-08,4.0184919878972015e-08
1.0169670581817627,6.559146043067555,1.6296121089262117,6.561187495496761,1.5830934513433506,-6.734213899577384e-08,4.0184919878972015e-08
1.0380892753601074,6.5588345749470065,1.6381822132483845,6.561140591881917,1.5918752636756974,-1.2093544940278175e-07,3.7140940651707045e-07
1.0578651428222656,6.5585111397880995,1.6467528771206872,6.56110307970413,1.6005665110033762,-1.2093544940278175e-07,3.7140940651707045e-07
1.077333927154541,6.55817583013233,1.6553241830671566,6.561077908953218,1.609328498871401,-9.051291578012788e-07,4.674143835455689e-06
1.1070787906646729,6.5578302951752105,1.6638960587072997,6.561148559104124,1.6201617993652826,-3.2846999782991316e-06,1.731942781041743e-05
1.1369502544403076,6.557103842791838,1.6810413707494345,6.561248832662337,1.6322451154391289,-7.932404778004736e-06,4.169607336201504e-05
1.1560626029968262,6.556724551297948,1.6896148319887763,6.561249784089744,1.6421807815898728,-7.932404778004736e-06,4.169607336201504e-05
1.1750454902648926,6.556333450271432,1.6981887251718093,6.561251014968737,1.6520909719771306,-1.5579724862869887e-05,8.151420278946223e-05
1.1952667236328125,6.555930542383015,1.7067631420123086,6.561269451554096,1.662312308042251,-1.5579724862869887e-05,8.151420278946223e-05
1.2156727313995361,6.555517337752597,1.7153380285615383,6.561289136843445,1.6726032673525117,-2.6436295449557308e-05,0.00013780802548964046
1.2356336116790771,6.555092186277419,1.7239132940173907,6.561297302639018,1.6827939873663564,-4.0550127115321e-05,0.00021079417395264034
1.2546734809875488,6.554655063449018,1.732489032982149,6.56128301540996,1.692740464638426,-4.0550127115321e-05,0.00021079417395264034
1.274153470993042,6.554207436076812,1.7410651988975951,6.561269944198135,1.702818290821505,-5.788997958474916e-05,0.00030029188344926394
1.2967045307159424,6.553747633713677,1.749641693177233,6.56130778188679,1.71380572176118,-5.788997958474916e-05,0.00030029188344926394
1.31386399269104,6.55327560821728,1.758218612683477,6.561215120554163,1.7231299063974315,-7.837321840195905e-05,0.0004058633092700363
1.3338499069213867,6.552792806159162,1.766795917245839,6.56117829170547,1.7333470482405393,-0.00010188418448766579,0.0005269059585581367
1.3531382083892822,6.552297547501562,1.7753734996052304,6.561110197012528,1.7433231783147205,-0.00010188418448766579,0.0005269059585581367
1.37339448928833,6.551789771805039,1.7839514583145313,6.561050546514442,1.753604532228284,-0.00012828646028808312,0.0006627143417696116
1.3940246105194092,6.551270925901046,1.792529758812705,6.560980391832831,1.7639821348435805,-0.00012828646028808312,0.0006627143417696116
1.4138174057006836,6.550739331732296,1.8011082847044393,6.560866442121973,1.7740316010806403,-0.00015743119532603798,0.0008125217698835541
1.433121681213379,6.550194927446298,1.809687136026233,6.560720425904017,1.7838788584029055,-0.00018916286718669056,0.000975529243500454
1.4528021812438965,6.549639181888382,1.818266283142616,6.560566925818993,1.793835625179625,-0.00018916286718669056,0.000975529243500454
1.4725713729858398,6.549070428087971,1.8268456004443192,6.56039530236975,1.803791144468526,-0.0002233233504372275,0.001150925834212544
1.4927186965942383,6.548488609860519,1.835425189585344,6.560212116215874,1.8138488365103336,-0.0002233233504372275,0.001150925834212544
1.5146112442016602,6.547895238913955,1.8440050254224345,6.560051824661716,1.8245099191045018,-0.0002597548460839554,0.001337903342371865
1.5336897373199463,6.5472886615999135,1.8525849734371487,6.559773698420239,1.8340196039765986,-0.0002597548460839554,0.001337903342371865
1.554502248764038,6.546668843267033,1.8611651357654115,6.55952743446982,1.8441698323447748,-0.00029800800691094875,0.001534168091748817
1.5737521648406982,6.546037301311848,1.8697454941368175,6.55920510273977,1.8536508667433609,-0.0003376653132741019,0.0017375887562583706
1.593428373336792,6.545392399661175,1.87832590471801,6.558876545282457,1.863273520820222,-0.0003376653132741019,0.0017375887562583706
1.6130683422088623,6.544734130670362,1.8869064701421678,6.558524175222688,1.8728455854588713,-0.0003785679536545978,0.0019473516611536053
